doctor_id,department,day_of_week,time_of_day_minutes,patients_waiting,emergency_patients_waiting,doctor_workload,avg_consultation_time,actual_wait_time
7,General Medicine,6,726,2,1,15,6.64,22.48
1,Cardiology,5,932,11,1,25,13.52,154.67
1,Cardiology,5,836,6,1,9,20.0,130.09
8,Orthopedics,4,995,15,1,16,18.69,299.91
4,General Medicine,3,859,0,0,0,10.96,0.0
3,Cardiology,0,896,7,1,10,15.93,119.16
1,Cardiology,1,897,2,0,6,18.75,39.78
8,Orthopedics,3,756,12,0,3,16.61,206.63
3,Cardiology,0,578,15,3,17,13.58,220.79
7,General Medicine,5,516,11,0,22,5.0,61.88
9,Orthopedics,5,752,0,0,29,23.63,0.0
4,General Medicine,0,821,12,2,18,10.65,137.38
4,General Medicine,2,985,14,4,4,7.99,126.57
5,General Medicine,3,630,15,0,6,11.98,178.14
7,General Medicine,5,702,9,4,2,7.38,78.11
2,Cardiology,6,488,9,1,11,25.11,235.91
8,Orthopedics,1,872,1,0,25,18.09,19.56
6,General Medicine,2,975,12,0,21,13.56,174.32
6,General Medicine,6,570,9,1,18,14.96,139.74
2,Cardiology,3,537,3,3,7,25.65,98.94
1,Cardiology,2,827,13,0,30,18.31,243.84
1,Cardiology,5,596,5,1,11,20.09,109.85
5,General Medicine,5,692,10,3,4,13.69,146.79
9,Orthopedics,1,526,8,0,13,20.21,168.82
7,General Medicine,0,491,9,3,23,5.09,57.39
4,General Medicine,1,795,1,1,27,7.35,12.64
6,General Medicine,6,624,8,0,20,16.14,136.05
3,Cardiology,4,869,1,0,4,12.36,18.65
8,Orthopedics,5,721,10,4,4,17.85,204.9
1,Cardiology,1,703,14,0,10,16.57,238.09
6,General Medicine,2,940,0,0,1,15.68,0.0
5,General Medicine,5,916,6,4,20,15.82,116.99
1,Cardiology,2,925,0,0,16,16.8,0.0
8,Orthopedics,1,827,14,1,25,21.1,307.11
2,Cardiology,3,533,11,4,29,24.5,307.64
7,General Medicine,6,708,4,1,10,7.13,31.64
2,Cardiology,5,785,1,1,29,23.26,36.39
2,Cardiology,3,728,5,0,23,24.47,133.57
10,Orthopedics,2,560,4,4,3,17.42,90.77
1,Cardiology,3,548,1,1,20,17.7,25.21
3,Cardiology,6,662,15,2,21,13.18,211.55
4,General Medicine,0,674,15,2,26,8.03,131.96
10,Orthopedics,2,882,4,4,17,13.37,71.24
5,General Medicine,5,992,4,0,11,10.89,50.18
10,Orthopedics,4,552,9,0,14,13.6,125.85
1,Cardiology,1,736,7,0,2,18.94,136.25
8,Orthopedics,5,1005,9,3,22,21.56,226.62
10,Orthopedics,5,791,2,2,2,15.06,42.45
2,Cardiology,1,494,15,0,22,24.63,373.65
9,Orthopedics,0,710,5,1,29,25.37,142.93
3,Cardiology,0,588,1,0,3,19.75,23.39
8,Orthopedics,0,904,4,3,25,15.17,81.12
6,General Medicine,4,856,0,0,20,13.7,0.0
8,Orthopedics,6,616,6,2,18,17.03,118.36
6,General Medicine,5,983,5,2,29,15.29,99.72
8,Orthopedics,1,914,12,3,4,19.5,250.69
3,Cardiology,3,704,3,0,11,13.0,41.97
6,General Medicine,4,618,14,3,12,13.19,197.0
2,Cardiology,1,740,6,1,11,25.09,167.18
4,General Medicine,0,798,4,0,16,7.97,34.88
6,General Medicine,6,898,13,0,4,12.95,170.29
9,Orthopedics,1,992,7,3,28,20.79,178.87
3,Cardiology,4,644,4,2,26,14.18,72.64
9,Orthopedics,4,521,8,1,7,22.49,193.36
3,Cardiology,4,901,0,0,22,14.2,0.0
1,Cardiology,0,624,0,0,14,21.66,0.0
8,Orthopedics,2,518,2,1,5,13.58,35.87
10,Orthopedics,3,494,14,4,0,13.24,204.12
4,General Medicine,4,920,0,0,28,10.16,0.0
5,General Medicine,2,768,13,3,21,11.9,180.08
10,Orthopedics,0,597,5,4,30,13.44,82.75
4,General Medicine,6,636,7,4,28,11.51,97.25
2,Cardiology,2,574,2,2,3,21.74,57.96
5,General Medicine,3,490,13,1,7,8.44,118.17
10,Orthopedics,5,842,11,1,12,16.74,188.7
4,General Medicine,3,612,7,4,7,12.41,105.18
10,Orthopedics,0,530,12,0,21,13.75,167.66
4,General Medicine,5,480,14,2,7,6.83,105.41
5,General Medicine,0,681,3,0,20,10.17,35.25
4,General Medicine,0,554,5,1,6,12.54,65.21
1,Cardiology,2,658,5,0,6,22.08,109.49
6,General Medicine,1,635,1,0,16,14.46,14.34
8,Orthopedics,0,806,0,0,12,15.27,0.0
8,Orthopedics,2,797,15,4,16,14.18,232.78
8,Orthopedics,2,497,0,0,13,16.91,0.0
3,Cardiology,6,673,5,3,16,17.49,100.18
4,General Medicine,0,743,12,2,9,11.67,149.82
1,Cardiology,6,534,11,1,6,19.82,225.27
7,General Medicine,2,922,14,4,7,8.2,125.61
3,Cardiology,2,743,1,0,23,16.42,27.35
4,General Medicine,3,644,5,4,13,11.19,71.03
7,General Medicine,1,630,4,2,15,8.65,39.05
2,Cardiology,1,1002,9,1,2,21.89,213.76
5,General Medicine,4,735,13,0,1,11.27,153.08
10,Orthopedics,5,843,7,0,9,15.57,110.9
7,General Medicine,0,594,0,0,13,9.74,0.0
9,Orthopedics,6,680,5,2,13,24.11,137.7
2,Cardiology,6,554,5,1,20,25.7,140.16
2,Cardiology,0,632,5,1,11,27.72,149.88
9,Orthopedics,4,934,9,4,16,23.97,242.12
10,Orthopedics,5,609,11,2,0,12.44,144.87
10,Orthopedics,4,628,10,2,3,13.49,140.66
3,Cardiology,5,577,6,4,23,17.11,129.6
1,Cardiology,5,986,12,2,1,16.96,220.48
9,Orthopedics,0,775,0,0,0,26.6,0.0
9,Orthopedics,4,521,8,2,2,21.38,182.33
1,Cardiology,4,496,9,0,22,18.26,168.9
8,Orthopedics,2,560,6,4,21,18.08,134.41
2,Cardiology,0,747,14,2,25,25.29,378.08
10,Orthopedics,6,880,6,1,20,11.1,73.06
5,General Medicine,6,616,2,1,26,11.92,34.66
4,General Medicine,6,881,10,1,6,10.19,104.79
3,Cardiology,3,667,12,1,2,12.92,163.09
7,General Medicine,6,843,6,0,3,6.7,43.92
2,Cardiology,0,495,12,1,11,25.16,314.92
3,Cardiology,2,518,13,3,28,13.97,203.95
5,General Medicine,3,751,7,3,14,10.39,89.26
7,General Medicine,3,868,0,0,29,7.98,0.0
8,Orthopedics,5,803,1,1,4,17.73,23.75
1,Cardiology,0,823,3,3,26,20.47,84.53
8,Orthopedics,6,781,7,2,29,16.35,126.68
4,General Medicine,3,789,4,2,12,10.76,50.67
10,Orthopedics,2,996,4,0,8,14.79,67.65
2,Cardiology,1,541,0,0,23,22.65,0.0
3,Cardiology,2,599,12,0,8,10.51,125.07
9,Orthopedics,2,811,9,0,14,23.32,218.68
2,Cardiology,3,517,7,2,4,25.09,189.6
5,General Medicine,3,593,7,4,29,14.41,125.0
8,Orthopedics,1,519,10,4,12,18.31,212.72
8,Orthopedics,3,832,10,2,15,19.64,212.72
9,Orthopedics,4,649,3,2,26,20.7,81.17
10,Orthopedics,0,510,6,1,9,13.92,91.39
7,General Medicine,6,561,3,1,13,6.38,26.24
2,Cardiology,4,525,10,0,8,22.28,226.64
8,Orthopedics,4,805,2,1,6,19.08,45.22
5,General Medicine,4,757,3,3,3,11.63,49.73
1,Cardiology,3,880,9,0,21,19.04,175.94
2,Cardiology,5,764,11,3,26,25.73,314.86
7,General Medicine,4,512,5,2,10,6.89,46.23
2,Cardiology,4,995,0,0,2,22.54,0.0
7,General Medicine,4,636,10,3,1,7.64,81.35
3,Cardiology,0,861,11,3,28,16.46,201.16
4,General Medicine,5,932,2,2,0,11.27,32.78
2,Cardiology,4,642,15,0,24,23.14,353.43
8,Orthopedics,3,909,8,0,28,21.44,179.26
2,Cardiology,3,678,2,0,11,26.45,58.84
9,Orthopedics,5,685,6,0,29,22.98,141.67
6,General Medicine,0,980,4,1,23,18.6,93.48
1,Cardiology,4,753,13,1,13,19.92,276.16
6,General Medicine,0,871,10,2,23,16.48,178.36
6,General Medicine,5,571,3,0,9,15.1,47.27
9,Orthopedics,4,595,9,1,5,20.44,196.48
2,Cardiology,6,585,6,3,16,26.28,185.18
9,Orthopedics,6,702,15,0,17,23.76,363.6
7,General Medicine,2,563,15,3,5,9.12,145.39
3,Cardiology,6,493,10,1,21,17.63,191.03
9,Orthopedics,4,722,9,2,22,24.15,246.26
7,General Medicine,4,767,2,1,5,7.59,20.66
8,Orthopedics,0,538,2,1,18,19.51,46.96
1,Cardiology,6,811,0,0,29,20.42,0.0
5,General Medicine,6,503,3,0,3,13.75,44.15
8,Orthopedics,1,899,9,4,1,20.16,205.69
2,Cardiology,3,774,9,2,18,23.22,227.46
3,Cardiology,4,1009,7,4,14,16.5,143.94
4,General Medicine,5,777,11,1,22,8.59,106.07
9,Orthopedics,5,981,11,4,14,25.08,322.24
4,General Medicine,1,624,10,0,24,12.09,124.85
5,General Medicine,6,928,7,3,23,9.19,75.52
10,Orthopedics,2,749,15,1,28,16.99,269.1
1,Cardiology,4,755,7,2,11,18.32,148.02
4,General Medicine,3,600,10,4,14,9.36,113.83
1,Cardiology,3,635,14,3,26,19.35,291.81
2,Cardiology,0,990,4,3,25,26.47,142.44
5,General Medicine,0,685,11,1,19,13.83,161.15
8,Orthopedics,6,906,1,0,11,15.87,18.34
4,General Medicine,1,854,7,1,20,10.55,79.09
6,General Medicine,4,974,5,1,0,14.94,93.18
1,Cardiology,1,782,7,0,11,20.4,144.2
4,General Medicine,0,480,2,2,15,11.01,34.6
9,Orthopedics,1,699,1,1,5,23.6,30.49
9,Orthopedics,4,638,8,2,3,24.45,212.92
4,General Medicine,5,498,5,1,17,9.27,54.8
1,Cardiology,5,934,8,4,14,22.68,216.18
5,General Medicine,2,952,0,0,16,7.7,0.0
6,General Medicine,1,746,2,1,13,18.54,48.17
3,Cardiology,4,807,15,1,5,19.5,294.53
4,General Medicine,6,522,15,1,11,10.34,162.71
9,Orthopedics,3,530,14,3,20,22.56,335.99
4,General Medicine,4,973,10,4,14,9.81,128.03
10,Orthopedics,3,481,0,0,12,16.96,0.0
4,General Medicine,1,824,13,2,6,8.06,112.49
7,General Medicine,6,791,0,0,9,6.35,0.0
6,General Medicine,0,651,7,4,9,14.7,123.08
9,Orthopedics,1,1000,14,1,23,26.5,395.01
8,Orthopedics,0,633,10,4,3,17.4,197.87
7,General Medicine,1,625,2,1,0,6.88,12.4
1,Cardiology,2,587,1,0,22,19.5,19.96
5,General Medicine,6,898,11,2,9,12.29,146.55
9,Orthopedics,5,799,2,2,20,19.3,52.32
7,General Medicine,0,938,6,3,13,11.79,84.88
10,Orthopedics,6,515,7,4,0,13.93,109.35
1,Cardiology,2,549,8,3,12,23.16,206.26
5,General Medicine,3,1018,15,4,7,12.07,205.88
6,General Medicine,3,860,9,2,21,16.67,166.29
2,Cardiology,6,595,7,3,25,28.89,230.28
10,Orthopedics,5,534,15,3,16,16.26,254.71
7,General Medicine,3,583,5,4,19,7.0,47.43
9,Orthopedics,5,628,3,1,21,23.56,82.52
1,Cardiology,4,939,5,3,1,19.38,112.51
9,Orthopedics,4,928,10,2,19,19.65,212.68
2,Cardiology,6,741,2,1,10,24.81,69.13
4,General Medicine,1,491,14,0,9,13.79,201.38
8,Orthopedics,1,941,5,2,15,19.36,113.16
5,General Medicine,2,609,2,1,13,10.96,27.95
9,Orthopedics,1,732,5,0,3,22.34,114.23
6,General Medicine,5,860,3,2,2,15.6,53.38
5,General Medicine,1,871,4,1,3,11.39,51.1
4,General Medicine,1,926,5,4,10,10.11,69.26
3,Cardiology,6,996,2,1,9,17.44,49.67
2,Cardiology,4,535,14,0,22,22.04,311.26
9,Orthopedics,3,669,13,2,6,21.18,288.06
4,General Medicine,3,580,6,3,19,10.34,76.62
6,General Medicine,6,542,4,3,30,12.94,65.33
7,General Medicine,2,571,5,4,28,7.55,50.68
6,General Medicine,5,950,9,4,0,9.82,102.95
5,General Medicine,4,817,4,4,3,11.01,53.7
5,General Medicine,3,662,4,1,29,10.48,49.51
2,Cardiology,2,915,12,1,20,23.23,290.61
9,Orthopedics,0,609,11,4,0,20.54,250.31
7,General Medicine,1,679,0,0,14,9.84,0.0
1,Cardiology,3,652,2,0,11,24.03,50.66
8,Orthopedics,0,566,10,0,12,17.75,180.22
1,Cardiology,4,627,4,1,30,18.04,79.58
3,Cardiology,6,978,11,2,10,17.49,206.25
6,General Medicine,1,847,11,0,30,13.63,158.09
9,Orthopedics,1,942,1,0,16,20.28,20.84
9,Orthopedics,0,696,9,1,9,20.71,197.21
8,Orthopedics,1,853,12,4,30,22.73,307.26
2,Cardiology,2,1001,14,0,7,23.34,336.79
8,Orthopedics,2,603,9,0,17,17.56,160.59
1,Cardiology,4,601,15,0,11,19.67,298.03
5,General Medicine,5,781,7,3,10,14.25,112.17
9,Orthopedics,5,945,1,0,20,23.63,29.36
3,Cardiology,6,567,11,4,21,19.6,246.56
8,Orthopedics,2,498,6,4,29,18.66,142.83
5,General Medicine,6,615,9,1,15,13.19,128.01
3,Cardiology,0,583,2,1,1,15.52,31.7
7,General Medicine,2,545,8,4,8,7.73,72.78
10,Orthopedics,1,491,0,0,13,12.1,0.0
3,Cardiology,6,549,7,2,4,12.79,97.12
4,General Medicine,3,1015,5,2,25,8.12,54.2
8,Orthopedics,6,884,9,3,27,14.48,147.08
3,Cardiology,4,815,9,3,3,20.12,199.69
2,Cardiology,2,638,11,3,18,23.67,282.78
6,General Medicine,4,555,13,1,5,14.99,202.07
3,Cardiology,4,829,6,0,22,14.01,86.56
1,Cardiology,2,955,10,2,24,17.38,189.57
1,Cardiology,5,739,3,3,14,21.15,89.62
7,General Medicine,0,879,4,0,19,6.08,23.89
1,Cardiology,5,733,5,4,5,17.65,109.75
5,General Medicine,2,905,2,1,25,12.34,34.92
10,Orthopedics,4,835,5,1,3,13.93,74.75
4,General Medicine,5,661,13,3,11,10.29,146.44
8,Orthopedics,0,887,11,1,29,16.85,198.9
10,Orthopedics,5,684,5,3,8,13.61,80.35
4,General Medicine,1,729,10,0,20,9.97,101.45
7,General Medicine,5,878,1,1,23,9.77,14.11
7,General Medicine,4,905,9,3,23,8.28,89.19
10,Orthopedics,4,561,4,2,22,13.16,65.82
3,Cardiology,2,863,11,0,28,12.29,138.55
7,General Medicine,5,768,0,0,23,6.38,0.0
2,Cardiology,3,522,8,0,16,22.32,183.45
2,Cardiology,0,996,1,1,15,24.6,42.55
3,Cardiology,4,565,11,3,26,13.71,168.12
1,Cardiology,6,756,3,1,30,21.59,84.68
8,Orthopedics,4,558,5,3,27,21.17,131.41
1,Cardiology,6,545,8,2,7,18.48,155.75
3,Cardiology,5,915,6,0,26,17.62,109.21
3,Cardiology,2,983,11,1,7,16.84,197.67
4,General Medicine,4,551,6,0,14,5.0,35.99
6,General Medicine,3,865,6,2,12,14.47,99.35
8,Orthopedics,5,699,0,0,22,16.09,0.0
4,General Medicine,5,845,5,2,8,10.85,62.42
1,Cardiology,6,588,6,4,20,22.82,165.57
6,General Medicine,1,726,15,2,4,17.35,279.98
9,Orthopedics,3,861,13,4,2,27.18,387.36
4,General Medicine,5,913,5,2,27,9.41,57.18
9,Orthopedics,4,705,5,2,11,18.09,100.5
5,General Medicine,3,697,13,0,20,10.99,149.45
3,Cardiology,6,817,9,2,24,14.66,151.39
1,Cardiology,4,768,3,0,15,16.75,57.31
8,Orthopedics,3,526,6,0,19,16.65,105.45
7,General Medicine,6,995,9,0,14,7.05,71.25
3,Cardiology,0,781,3,1,3,13.64,46.68
3,Cardiology,3,686,1,0,0,15.98,14.84
6,General Medicine,5,980,7,2,18,12.72,106.69
8,Orthopedics,5,633,5,0,18,17.82,95.22
7,General Medicine,5,542,8,2,27,8.99,81.11
4,General Medicine,5,599,5,4,28,11.62,77.26
9,Orthopedics,0,855,3,0,13,21.56,62.47
9,Orthopedics,3,547,11,1,8,23.56,264.22
8,Orthopedics,6,734,6,4,29,15.45,122.28
5,General Medicine,3,680,12,0,3,14.32,170.93
6,General Medicine,3,653,14,0,18,15.48,219.94
8,Orthopedics,4,984,12,2,3,19.91,256.98
4,General Medicine,5,555,12,2,21,10.78,137.31
7,General Medicine,0,566,5,0,17,6.14,32.77
10,Orthopedics,2,946,11,1,0,10.58,115.36
3,Cardiology,5,770,15,4,19,9.81,168.03
6,General Medicine,0,781,0,0,29,12.08,0.0
8,Orthopedics,2,883,11,0,25,13.23,146.22
10,Orthopedics,2,861,8,0,23,15.43,125.76
8,Orthopedics,4,662,8,4,10,17.87,164.65
1,Cardiology,3,498,11,4,20,21.68,265.04
1,Cardiology,4,582,11,1,4,20.29,228.23
2,Cardiology,1,803,13,0,30,23.66,314.38
8,Orthopedics,3,592,0,0,11,17.55,0.0
7,General Medicine,1,584,9,1,18,6.7,65.61
2,Cardiology,2,597,8,0,6,25.04,202.65
5,General Medicine,1,866,15,1,16,13.27,207.23
1,Cardiology,6,836,4,0,30,23.8,105.0
9,Orthopedics,5,756,5,2,17,20.27,119.68
9,Orthopedics,4,509,11,3,1,21.66,255.21
9,Orthopedics,6,502,7,2,15,17.69,137.19
8,Orthopedics,6,769,7,3,4,17.31,141.33
1,Cardiology,0,627,2,0,9,20.26,46.25
1,Cardiology,0,804,7,1,15,22.79,175.05
2,Cardiology,4,855,7,2,2,24.08,183.07
6,General Medicine,2,927,10,1,18,15.82,161.12
5,General Medicine,1,604,4,1,27,11.29,56.04
4,General Medicine,1,680,0,0,28,9.33,0.0
4,General Medicine,0,588,15,3,4,10.37,162.09
2,Cardiology,4,858,6,2,2,22.87,148.74
3,Cardiology,1,976,4,3,20,15.12,87.58
3,Cardiology,0,759,12,2,12,14.59,198.23
3,Cardiology,4,752,2,1,7,17.13,43.9
3,Cardiology,4,999,11,4,16,16.05,207.79
5,General Medicine,1,746,5,4,14,11.28,78.55
1,Cardiology,3,1003,5,0,18,20.75,115.28
4,General Medicine,5,707,5,2,0,6.37,41.48
9,Orthopedics,2,944,2,0,13,17.6,32.66
4,General Medicine,6,844,2,2,8,7.23,23.29
8,Orthopedics,2,802,10,4,12,19.77,226.2
6,General Medicine,4,799,13,4,15,13.94,204.04
3,Cardiology,5,536,13,2,18,14.75,203.17
5,General Medicine,0,620,7,4,27,14.38,125.42
4,General Medicine,2,673,14,0,1,9.67,133.4
6,General Medicine,2,834,7,2,13,11.21,88.46
8,Orthopedics,0,854,1,1,27,17.64,28.58
2,Cardiology,1,492,7,3,1,26.75,209.6
8,Orthopedics,5,506,5,4,6,14.92,93.3
9,Orthopedics,5,916,12,4,18,24.72,325.99
6,General Medicine,6,816,6,1,9,15.44,102.93
4,General Medicine,1,493,1,1,13,10.95,18.35
6,General Medicine,5,739,12,2,22,13.61,185.55
2,Cardiology,1,833,14,2,8,23.36,345.95
1,Cardiology,1,633,1,1,21,19.34,29.81
2,Cardiology,0,869,4,3,24,24.66,126.09
9,Orthopedics,2,907,3,3,17,21.68,90.79
1,Cardiology,5,900,0,0,25,20.16,0.0
9,Orthopedics,6,654,6,4,20,20.89,153.9
8,Orthopedics,3,1002,0,0,3,18.4,0.0
9,Orthopedics,5,1012,3,2,18,21.12,88.06
5,General Medicine,5,783,6,3,8,10.01,70.47
3,Cardiology,3,934,8,4,17,10.67,105.59
2,Cardiology,0,808,5,2,21,24.45,142.24
7,General Medicine,4,641,8,3,17,8.28,76.04
6,General Medicine,5,544,3,0,27,15.23,50.15
1,Cardiology,5,533,9,4,11,20.6,210.38
5,General Medicine,5,877,9,2,24,10.28,107.09
6,General Medicine,3,1015,12,2,24,15.04,204.01
6,General Medicine,0,598,11,0,7,13.47,150.02
9,Orthopedics,1,900,5,4,24,22.2,147.11
4,General Medicine,0,491,15,2,20,10.33,165.29
3,Cardiology,0,639,10,0,22,14.55,154.41
6,General Medicine,2,674,12,0,28,14.79,178.19
7,General Medicine,3,697,3,1,7,8.04,28.63
6,General Medicine,0,1008,10,1,11,16.67,182.61
9,Orthopedics,1,986,12,2,10,22.04,288.87
4,General Medicine,6,891,10,2,0,11.28,118.83
8,Orthopedics,5,638,8,1,25,16.33,146.81
6,General Medicine,0,901,10,1,14,15.91,166.24
5,General Medicine,5,773,13,1,13,7.58,112.96
3,Cardiology,5,997,12,3,12,14.14,194.59
6,General Medicine,0,751,3,2,27,15.1,65.74
5,General Medicine,0,753,2,2,22,10.36,40.27
1,Cardiology,2,724,15,1,1,18.72,293.03
8,Orthopedics,5,831,3,2,29,20.78,84.15
4,General Medicine,1,572,5,3,8,10.93,67.71
10,Orthopedics,6,650,4,1,27,15.12,66.45
6,General Medicine,4,634,8,4,2,21.99,198.33
7,General Medicine,0,883,4,2,2,8.2,39.89
1,Cardiology,1,595,12,3,20,22.76,293.84
2,Cardiology,0,537,9,4,19,25.03,256.23
9,Orthopedics,0,672,0,0,21,21.19,0.0
4,General Medicine,4,735,10,2,20,11.37,134.4
3,Cardiology,4,678,14,1,7,15.21,223.15
7,General Medicine,1,563,14,1,19,6.93,100.94
3,Cardiology,6,973,8,2,3,13.41,126.0
1,Cardiology,2,846,7,2,7,19.27,145.89
4,General Medicine,2,769,8,0,22,12.43,108.31
5,General Medicine,5,988,8,3,21,13.33,134.96
8,Orthopedics,6,564,12,3,2,16.31,209.04
3,Cardiology,6,899,14,0,4,13.07,185.53
5,General Medicine,0,591,10,2,13,14.79,158.34
6,General Medicine,3,1007,7,4,21,13.35,126.9
7,General Medicine,6,681,15,2,1,9.96,156.8
10,Orthopedics,5,984,0,0,3,17.8,0.0
4,General Medicine,6,632,10,4,4,10.07,110.68
9,Orthopedics,2,560,8,1,7,21.45,180.11
10,Orthopedics,6,988,13,0,16,14.26,195.25
4,General Medicine,3,724,2,0,30,11.47,37.37
7,General Medicine,0,953,14,3,3,7.41,110.82
4,General Medicine,2,967,13,1,0,9.88,140.76
4,General Medicine,2,647,2,0,0,9.64,13.43
8,Orthopedics,4,719,15,2,18,16.01,252.47
10,Orthopedics,0,574,3,3,22,16.93,68.76
9,Orthopedics,4,998,13,2,17,22.14,310.58
5,General Medicine,2,762,11,0,5,14.44,162.19
5,General Medicine,5,538,0,0,29,11.51,0.0
6,General Medicine,4,929,13,3,0,13.77,195.59
7,General Medicine,5,694,2,1,28,10.29,28.39
2,Cardiology,6,840,8,1,29,23.94,200.55
6,General Medicine,1,804,11,0,4,15.15,168.53
1,Cardiology,2,683,6,2,2,17.42,115.15
2,Cardiology,3,645,5,1,10,22.1,115.58
6,General Medicine,3,627,11,2,19,15.69,186.15
5,General Medicine,1,613,14,2,9,10.25,157.27
6,General Medicine,0,922,3,2,27,13.88,54.98
5,General Medicine,6,794,5,2,15,9.99,54.59
1,Cardiology,0,780,3,2,16,22.86,92.6
10,Orthopedics,3,552,12,1,5,15.13,187.08
3,Cardiology,3,986,4,0,27,14.65,72.79
9,Orthopedics,2,727,11,0,10,22.59,251.66
4,General Medicine,4,518,0,0,20,11.38,0.0
7,General Medicine,6,959,3,2,30,6.05,22.16
10,Orthopedics,0,810,15,1,29,16.0,252.01
8,Orthopedics,5,866,9,0,22,18.31,174.31
3,Cardiology,5,969,0,0,8,16.2,0.0
7,General Medicine,0,666,4,1,28,6.83,35.95
6,General Medicine,1,899,1,1,10,16.79,22.18
10,Orthopedics,0,684,3,1,6,16.72,56.33
4,General Medicine,3,686,0,0,22,8.62,0.0
3,Cardiology,5,600,0,0,5,14.44,0.0
5,General Medicine,0,500,1,0,2,11.44,13.55
3,Cardiology,3,548,0,0,3,16.94,0.0
8,Orthopedics,1,1014,8,4,28,20.1,197.1
9,Orthopedics,4,790,13,4,3,19.23,277.98
10,Orthopedics,6,576,0,0,20,14.05,0.0
9,Orthopedics,5,740,9,0,11,24.07,225.06
9,Orthopedics,6,936,12,4,22,23.21,312.49
7,General Medicine,4,880,6,4,1,6.16,48.96
6,General Medicine,5,768,13,0,29,15.32,207.86
3,Cardiology,3,713,11,2,13,12.48,145.88
3,Cardiology,5,861,11,2,28,13.68,168.77
1,Cardiology,2,674,9,1,0,18.99,174.79
6,General Medicine,0,572,15,4,15,12.88,208.82
7,General Medicine,1,496,6,4,4,8.51,64.32
10,Orthopedics,0,582,4,0,16,17.22,75.15
3,Cardiology,6,895,9,3,15,15.64,161.57
9,Orthopedics,5,815,8,2,11,22.26,196.96
3,Cardiology,2,908,14,2,10,13.75,202.18
8,Orthopedics,1,914,15,1,7,16.6,254.61
9,Orthopedics,3,814,11,3,24,23.88,288.88
6,General Medicine,6,1011,15,4,26,15.71,267.53
3,Cardiology,5,685,15,2,22,13.86,218.76
4,General Medicine,2,601,14,2,26,5.59,90.13
1,Cardiology,0,827,14,3,1,19.19,286.95
9,Orthopedics,3,615,8,1,25,25.03,214.83
7,General Medicine,1,979,0,0,2,9.58,0.0
5,General Medicine,2,523,12,2,6,9.54,125.29
6,General Medicine,4,921,0,0,15,16.08,0.0
10,Orthopedics,3,969,4,4,21,17.88,102.81
6,General Medicine,2,519,12,2,1,17.12,218.48
1,Cardiology,1,993,1,1,18,19.69,38.72
1,Cardiology,5,984,14,2,5,22.06,328.65
5,General Medicine,1,916,14,3,22,13.47,207.29
1,Cardiology,3,871,0,0,4,21.63,0.0
