Room_ID,Hospital_ID,Room_Number,Room_Type,Status,Capacity
RM000062,HOSP000004,302,General Ward,Available,4
RM000063,HOSP000004,503,Consultation Room,Maintenance,1
RM000064,HOSP000004,404,Operation Theater,Maintenance,1
RM000065,HOSP000004,205,Emergency Room,Maintenance,4
RM000066,HOSP000004,206,Emergency Room,Occupied,2
RM000067,HOSP000004,207,Emergency Room,Maintenance,4
RM000068,HOSP000004,108,Emergency Room,Occupied,2
RM000069,HOSP000004,109,General Ward,Maintenance,4
RM000070,HOSP000004,510,Operation Theater,Occupied,1
RM000071,HOSP000004,311,Consultation Room,Maintenance,1
RM000072,HOSP000004,412,General Ward,Occupied,2
RM000073,HOSP000004,313,Operation Theater,Maintenance,1
RM000074,HOSP000004,414,ICU,Available,1
RM000075,HOSP000004,515,ICU,Available,1
RM000076,HOSP000004,416,ICU,Occupied,1
RM000077,HOSP000004,217,ICU,Available,1
RM000078,HOSP000004,318,General Ward,Occupied,4
RM000079,HOSP000004,419,Consultation Room,Available,1
RM000080,HOSP000004,120,Emergency Room,Occupied,6
RM000081,HOSP000005,201,Emergency Room,Maintenance,6
RM000082,HOSP000005,502,Emergency Room,Occupied,2
RM000083,HOSP000005,203,ICU,Occupied,1
RM000084,HOSP000005,104,General Ward,Available,4
RM000085,HOSP000005,105,ICU,Maintenance,1
RM000086,HOSP000005,306,Emergency Room,Maintenance,2
RM000087,HOSP000005,207,Emergency Room,Occupied,2
RM000088,HOSP000005,408,General Ward,Available,2
RM000089,HOSP000005,109,Emergency Room,Maintenance,6
RM000090,HOSP000005,310,Operation Theater,Available,1
RM000091,HOSP000005,111,Operation Theater,Available,1
RM000092,HOSP000005,512,ICU,Available,1
RM000093,HOSP000005,313,General Ward,Occupied,2
RM000094,HOSP000005,114,General Ward,Maintenance,2
RM000095,HOSP000005,515,General Ward,Occupied,4
RM000096,HOSP000005,516,General Ward,Occupied,2
RM000097,HOSP000005,517,General Ward,Occupied,2
RM000098,HOSP000005,318,Emergency Room,Available,6
RM000099,HOSP000005,319,ICU,Occupied,1
RM000100,HOSP000005,120,ICU,Occupied,1
RM000101,HOSP000006,401,Consultation Room,Available,1
RM000102,HOSP000006,402,ICU,Maintenance,1
RM000103,HOSP000006,403,Operation Theater,Available,1
RM000104,HOSP000006,204,Operation Theater,Available,1
RM000105,HOSP000006,205,ICU,Occupied,1
RM000106,HOSP000006,206,Operation Theater,Occupied,1
RM000107,HOSP000006,307,ICU,Available,1
RM000108,HOSP000006,408,Emergency Room,Available,6
RM000109,HOSP000006,109,ICU,Maintenance,1
RM000110,HOSP000006,410,ICU,Occupied,1
RM000111,HOSP000006,111,Consultation Room,Occupied,1
RM000112,HOSP000006,512,Emergency Room,Occupied,2
RM000113,HOSP000006,413,General Ward,Available,4
RM000114,HOSP000006,214,Operation Theater,Available,1
RM000115,HOSP000006,215,Emergency Room,Maintenance,4
RM000116,HOSP000006,416,Emergency Room,Occupied,2
RM000117,HOSP000006,217,General Ward,Maintenance,6
RM000118,HOSP000006,318,Emergency Room,Maintenance,4
RM000119,HOSP000006,219,ICU,Available,1
RM000120,HOSP000006,220,Consultation Room,Available,1
RM000121,HOSP000007,501,Operation Theater,Maintenance,1
RM000122,HOSP000007,502,Emergency Room,Maintenance,2
RM000123,HOSP000007,103,ICU,Maintenance,1
RM000124,HOSP000007,204,ICU,Maintenance,1
RM000125,HOSP000007,305,Operation Theater,Maintenance,1
RM000126,HOSP000007,506,Emergency Room,Available,6
RM000127,HOSP000007,407,Emergency Room,Maintenance,2
RM000128,HOSP000007,208,Consultation Room,Occupied,1
RM000129,HOSP000007,309,General Ward,Maintenance,6
RM000130,HOSP000007,410,Consultation Room,Maintenance,1
RM000131,HOSP000007,311,ICU,Occupied,1
RM000132,HOSP000007,112,Emergency Room,Maintenance,4
RM000133,HOSP000007,413,ICU,Maintenance,1
RM000134,HOSP000007,214,Operation Theater,Occupied,1
RM000135,HOSP000007,315,ICU,Maintenance,1
RM000136,HOSP000007,116,General Ward,Maintenance,2
RM000137,HOSP000007,217,Emergency Room,Maintenance,6
RM000138,HOSP000007,118,General Ward,Available,4
RM000139,HOSP000007,519,Emergency Room,Occupied,2
RM000140,HOSP000007,320,Consultation Room,Available,1
RM000141,HOSP000008,301,Emergency Room,Maintenance,4
RM000142,HOSP000008,502,General Ward,Occupied,2
RM000143,HOSP000008,503,Operation Theater,Occupied,1
RM000144,HOSP000008,104,Emergency Room,Maintenance,6
RM000145,HOSP000008,305,Emergency Room,Available,4
RM000146,HOSP000008,506,Consultation Room,Occupied,1
RM000147,HOSP000008,207,ICU,Maintenance,1
RM000148,HOSP000008,208,General Ward,Maintenance,4
RM000149,HOSP000008,409,ICU,Maintenance,1
RM000150,HOSP000008,510,Consultation Room,Available,1
RM000151,HOSP000008,211,Consultation Room,Maintenance,1
RM000152,HOSP000008,112,Consultation Room,Occupied,1
RM000153,HOSP000008,213,ICU,Maintenance,1
RM000154,HOSP000008,414,Consultation Room,Occupied,1
RM000155,HOSP000008,215,ICU,Occupied,1
RM000156,HOSP000008,116,Consultation Room,Available,1
RM000157,HOSP000008,217,Operation Theater,Occupied,1
RM000158,HOSP000008,518,Consultation Room,Occupied,1
RM000159,HOSP000008,419,Operation Theater,Available,1
RM000160,HOSP000008,120,Emergency Room,Maintenance,4
RM000161,HOSP000009,301,Consultation Room,Maintenance,1
RM000162,HOSP000009,302,ICU,Maintenance,1
RM000163,HOSP000009,403,Operation Theater,Maintenance,1
RM000164,HOSP000009,504,ICU,Occupied,1
RM000165,HOSP000009,105,ICU,Maintenance,1
RM000166,HOSP000009,406,ICU,Available,1
RM000167,HOSP000009,307,Operation Theater,Maintenance,1
RM000168,HOSP000009,508,Operation Theater,Occupied,1
RM000169,HOSP000009,109,Consultation Room,Maintenance,1
RM000170,HOSP000009,110,Consultation Room,Occupied,1
RM000171,HOSP000009,411,ICU,Occupied,1
RM000172,HOSP000009,212,General Ward,Available,4
RM000173,HOSP000009,513,Consultation Room,Occupied,1
RM000174,HOSP000009,414,Consultation Room,Occupied,1
RM000175,HOSP000009,115,Emergency Room,Maintenance,2
RM000176,HOSP000009,216,Consultation Room,Available,1
RM000177,HOSP000009,117,Consultation Room,Available,1
RM000178,HOSP000009,118,General Ward,Available,4
RM000179,HOSP000009,119,General Ward,Occupied,6
RM000180,HOSP000009,420,Consultation Room,Maintenance,1
RM000181,HOSP000010,301,Emergency Room,Maintenance,2
RM000182,HOSP000010,502,ICU,Available,1
RM000183,HOSP000010,303,ICU,Available,1
RM000184,HOSP000010,204,General Ward,Available,2
RM000185,HOSP000010,205,Consultation Room,Maintenance,1
RM000186,HOSP000010,506,Consultation Room,Occupied,1
RM000187,HOSP000010,307,General Ward,Occupied,2
RM000188,HOSP000010,108,Operation Theater,Available,1
RM000189,HOSP000010,509,Emergency Room,Maintenance,4
RM000190,HOSP000010,310,Consultation Room,Occupied,1
RM000191,HOSP000010,111,Operation Theater,Maintenance,1
RM000192,HOSP000010,312,Consultation Room,Available,1
RM000193,HOSP000010,313,ICU,Maintenance,1
RM000194,HOSP000010,114,ICU,Available,1
RM000195,HOSP000010,415,Consultation Room,Occupied,1
RM000196,HOSP000010,216,Operation Theater,Available,1
RM000197,HOSP000010,117,ICU,Available,1
RM000198,HOSP000010,318,Emergency Room,Available,6
RM000199,HOSP000010,419,Operation Theater,Available,1
RM000200,HOSP000010,120,ICU,Occupied,1
RM000201,HOSP000011,101,Operation Theater,Occupied,1
RM000202,HOSP000011,402,Operation Theater,Occupied,1
RM000203,HOSP000011,303,ICU,Available,1
RM000204,HOSP000011,104,ICU,Maintenance,1
RM000205,HOSP000011,205,Operation Theater,Available,1
RM000206,HOSP000011,406,General Ward,Occupied,4
RM000207,HOSP000011,107,ICU,Available,1
RM000208,HOSP000011,108,Emergency Room,Available,2
RM000209,HOSP000011,209,ICU,Occupied,1
RM000210,HOSP000011,110,General Ward,Occupied,4
RM000211,HOSP000011,511,Operation Theater,Occupied,1
RM000212,HOSP000011,312,General Ward,Available,2
RM000213,HOSP000011,513,Consultation Room,Maintenance,1
RM000214,HOSP000011,414,Consultation Room,Occupied,1
RM000215,HOSP000011,415,General Ward,Available,2
RM000216,HOSP000011,516,ICU,Maintenance,1
RM000217,HOSP000011,317,ICU,Occupied,1
RM000218,HOSP000011,218,Consultation Room,Occupied,1
RM000219,HOSP000011,319,Emergency Room,Occupied,6
RM000220,HOSP000011,520,Emergency Room,Occupied,2
RM000221,HOSP000012,201,General Ward,Maintenance,6
RM000222,HOSP000012,302,Operation Theater,Available,1
RM000223,HOSP000012,403,Consultation Room,Maintenance,1
RM000224,HOSP000012,204,Operation Theater,Occupied,1
RM000225,HOSP000012,405,Operation Theater,Maintenance,1
RM000226,HOSP000012,306,Consultation Room,Available,1
RM000227,HOSP000012,507,ICU,Maintenance,1
RM000228,HOSP000012,308,Emergency Room,Occupied,4
RM000229,HOSP000012,509,Consultation Room,Occupied,1
RM000230,HOSP000012,110,Consultation Room,Available,1
RM000231,HOSP000012,511,ICU,Available,1
RM000232,HOSP000012,212,Emergency Room,Occupied,4
RM000233,HOSP000012,413,Emergency Room,Maintenance,6
RM000234,HOSP000012,414,Operation Theater,Available,1
RM000235,HOSP000012,515,Operation Theater,Maintenance,1
RM000236,HOSP000012,116,Emergency Room,Available,2
RM000237,HOSP000012,117,General Ward,Maintenance,6
RM000238,HOSP000012,518,Emergency Room,Occupied,2
RM000239,HOSP000012,419,Emergency Room,Occupied,2
RM000240,HOSP000012,320,Consultation Room,Available,1
RM000241,HOSP000013,301,ICU,Occupied,1
RM000242,HOSP000013,502,General Ward,Maintenance,6
RM000243,HOSP000013,303,General Ward,Occupied,2
RM000244,HOSP000013,404,Emergency Room,Occupied,2
RM000245,HOSP000013,105,General Ward,Maintenance,2
RM000246,HOSP000013,106,Emergency Room,Occupied,2
RM000247,HOSP000013,407,Consultation Room,Occupied,1
RM000248,HOSP000013,408,General Ward,Maintenance,2
RM000249,HOSP000013,409,General Ward,Occupied,4
RM000250,HOSP000013,210,ICU,Available,1
RM000251,HOSP000013,411,Operation Theater,Maintenance,1
RM000252,HOSP000013,412,Consultation Room,Occupied,1
RM000253,HOSP000013,113,Emergency Room,Occupied,6
RM000254,HOSP000013,414,Operation Theater,Occupied,1
RM000255,HOSP000013,315,Operation Theater,Maintenance,1
RM000256,HOSP000013,316,Consultation Room,Occupied,1
RM000257,HOSP000013,217,ICU,Maintenance,1
RM000258,HOSP000013,218,ICU,Occupied,1
RM000259,HOSP000013,219,General Ward,Occupied,6
RM000260,HOSP000013,220,ICU,Maintenance,1
RM000261,HOSP000014,401,ICU,Maintenance,1
RM000262,HOSP000014,102,ICU,Available,1
RM000263,HOSP000014,403,Operation Theater,Maintenance,1
RM000264,HOSP000014,404,Emergency Room,Occupied,4
RM000265,HOSP000014,405,ICU,Available,1
RM000266,HOSP000014,206,ICU,Occupied,1
RM000267,HOSP000014,107,Consultation Room,Available,1
RM000268,HOSP000014,308,ICU,Available,1
RM000269,HOSP000014,309,Emergency Room,Occupied,6
RM000270,HOSP000014,110,General Ward,Available,2
RM000271,HOSP000014,211,General Ward,Available,2
RM000272,HOSP000014,312,Emergency Room,Maintenance,6
RM000273,HOSP000014,113,Consultation Room,Occupied,1
RM000274,HOSP000014,214,ICU,Maintenance,1
RM000275,HOSP000014,515,ICU,Available,1
RM000276,HOSP000014,216,Operation Theater,Maintenance,1
RM000277,HOSP000014,117,Emergency Room,Available,6
RM000278,HOSP000014,418,General Ward,Available,2
RM000279,HOSP000014,219,ICU,Available,1
RM000280,HOSP000014,120,Consultation Room,Available,1
RM000281,HOSP000015,101,Consultation Room,Occupied,1
RM000282,HOSP000015,402,Consultation Room,Maintenance,1
RM000283,HOSP000015,203,Operation Theater,Available,1
RM000284,HOSP000015,204,General Ward,Maintenance,6
RM000285,HOSP000015,205,Operation Theater,Available,1
RM000286,HOSP000015,306,Operation Theater,Available,1
RM000287,HOSP000015,407,Consultation Room,Available,1
RM000288,HOSP000015,308,Operation Theater,Available,1
RM000289,HOSP000015,509,Emergency Room,Maintenance,4
RM000290,HOSP000015,110,General Ward,Maintenance,6
RM000291,HOSP000015,311,General Ward,Available,4
RM000292,HOSP000015,412,Operation Theater,Occupied,1
RM000293,HOSP000015,413,General Ward,Available,6
RM000294,HOSP000015,314,Consultation Room,Available,1
RM000295,HOSP000015,315,Consultation Room,Occupied,1
RM000296,HOSP000015,316,ICU,Occupied,1
RM000297,HOSP000015,117,General Ward,Available,6
RM000298,HOSP000015,218,Emergency Room,Maintenance,6
RM000299,HOSP000015,519,Operation Theater,Maintenance,1
RM000300,HOSP000015,520,ICU,Available,1
RM000301,HOSP000016,301,General Ward,Maintenance,2
RM000302,HOSP000016,502,General Ward,Available,6
RM000303,HOSP000016,503,Operation Theater,Occupied,1
RM000304,HOSP000016,504,Emergency Room,Available,6
RM000305,HOSP000016,305,ICU,Available,1
RM000306,HOSP000016,206,Operation Theater,Available,1
RM000307,HOSP000016,207,Consultation Room,Occupied,1
RM000308,HOSP000016,508,General Ward,Maintenance,6
RM000309,HOSP000016,209,Consultation Room,Maintenance,1
RM000310,HOSP000016,110,ICU,Occupied,1
RM000311,HOSP000016,211,General Ward,Available,6
RM000312,HOSP000016,512,Consultation Room,Occupied,1
RM000313,HOSP000016,213,Consultation Room,Maintenance,1
RM000314,HOSP000016,514,Emergency Room,Available,2
RM000315,HOSP000016,215,Operation Theater,Maintenance,1
RM000316,HOSP000016,316,General Ward,Available,6
RM000317,HOSP000016,417,Operation Theater,Occupied,1
RM000318,HOSP000016,118,Consultation Room,Available,1
RM000319,HOSP000016,319,Emergency Room,Occupied,4
RM000320,HOSP000016,420,General Ward,Occupied,6
RM000321,HOSP000017,301,ICU,Occupied,1
RM000322,HOSP000017,502,Consultation Room,Maintenance,1
RM000323,HOSP000017,303,Operation Theater,Available,1
RM000324,HOSP000017,404,General Ward,Available,2
RM000325,HOSP000017,505,Emergency Room,Occupied,6
RM000326,HOSP000017,206,ICU,Maintenance,1
RM000327,HOSP000017,107,General Ward,Occupied,2
RM000328,HOSP000017,408,General Ward,Available,6
RM000329,HOSP000017,209,Consultation Room,Maintenance,1
RM000330,HOSP000017,210,General Ward,Available,4
RM000331,HOSP000017,511,Emergency Room,Available,4
RM000332,HOSP000017,212,Operation Theater,Maintenance,1
RM000333,HOSP000017,113,Emergency Room,Available,6
RM000334,HOSP000017,414,Consultation Room,Maintenance,1
RM000335,HOSP000017,215,ICU,Maintenance,1
RM000336,HOSP000017,216,Emergency Room,Maintenance,4
RM000337,HOSP000017,417,ICU,Occupied,1
RM000338,HOSP000017,318,Consultation Room,Maintenance,1
RM000339,HOSP000017,319,ICU,Maintenance,1
RM000340,HOSP000017,120,Operation Theater,Occupied,1
RM000341,HOSP000018,301,Consultation Room,Available,1
RM000342,HOSP000018,502,General Ward,Occupied,6
RM000343,HOSP000018,503,Emergency Room,Maintenance,6
RM000344,HOSP000018,304,ICU,Occupied,1
RM000345,HOSP000018,305,Operation Theater,Occupied,1
RM000346,HOSP000018,506,General Ward,Available,6
RM000347,HOSP000018,107,Consultation Room,Available,1
RM000348,HOSP000018,208,General Ward,Occupied,6
RM000349,HOSP000018,209,Operation Theater,Occupied,1
RM000350,HOSP000018,510,Emergency Room,Maintenance,2
RM000351,HOSP000018,311,Consultation Room,Occupied,1
RM000352,HOSP000018,112,ICU,Occupied,1
RM000353,HOSP000018,213,ICU,Available,1
RM000354,HOSP000018,214,General Ward,Occupied,6
RM000355,HOSP000018,415,ICU,Maintenance,1
RM000356,HOSP000018,116,ICU,Maintenance,1
RM000357,HOSP000018,317,Operation Theater,Occupied,1
RM000358,HOSP000018,118,Operation Theater,Maintenance,1
RM000359,HOSP000018,419,Consultation Room,Available,1
RM000360,HOSP000018,320,Operation Theater,Available,1
RM000361,HOSP000019,401,Operation Theater,Available,1
RM000362,HOSP000019,202,ICU,Maintenance,1
RM000363,HOSP000019,403,Consultation Room,Maintenance,1
RM000364,HOSP000019,204,Operation Theater,Maintenance,1
RM000365,HOSP000019,505,Operation Theater,Occupied,1
RM000366,HOSP000019,306,ICU,Occupied,1
RM000367,HOSP000019,407,Operation Theater,Occupied,1
RM000368,HOSP000019,308,ICU,Available,1
RM000369,HOSP000019,309,Emergency Room,Available,6
RM000370,HOSP000019,310,General Ward,Occupied,2
RM000371,HOSP000019,311,Consultation Room,Available,1
RM000372,HOSP000019,112,ICU,Maintenance,1
RM000373,HOSP000019,513,General Ward,Occupied,6
RM000374,HOSP000019,314,ICU,Occupied,1
RM000375,HOSP000019,215,Operation Theater,Maintenance,1
RM000376,HOSP000019,416,General Ward,Occupied,4
RM000377,HOSP000019,217,ICU,Occupied,1
RM000378,HOSP000019,418,Consultation Room,Maintenance,1
RM000379,HOSP000019,119,General Ward,Maintenance,2
RM000380,HOSP000019,420,Consultation Room,Occupied,1
RM000381,HOSP000020,301,Consultation Room,Occupied,1
RM000382,HOSP000020,202,General Ward,Occupied,2
RM000383,HOSP000020,403,ICU,Occupied,1
RM000384,HOSP000020,104,Emergency Room,Maintenance,6
RM000385,HOSP000020,205,ICU,Available,1
RM000386,HOSP000020,306,Operation Theater,Maintenance,1
RM000387,HOSP000020,507,Consultation Room,Maintenance,1
RM000388,HOSP000020,308,Operation Theater,Maintenance,1
RM000389,HOSP000020,409,Operation Theater,Maintenance,1
RM000390,HOSP000020,210,Operation Theater,Occupied,1
RM000391,HOSP000020,211,General Ward,Occupied,6
RM000392,HOSP000020,312,ICU,Occupied,1
RM000393,HOSP000020,413,Consultation Room,Available,1
RM000394,HOSP000020,514,Consultation Room,Occupied,1
RM000395,HOSP000020,515,Emergency Room,Occupied,4
RM000396,HOSP000020,216,Consultation Room,Maintenance,1
RM000397,HOSP000020,117,General Ward,Occupied,4
RM000398,HOSP000020,318,General Ward,Occupied,4
RM000399,HOSP000020,419,General Ward,Available,2
RM000400,HOSP000020,520,Emergency Room,Available,4
RM000401,HOSP000021,101,General Ward,Available,6
RM000402,HOSP000021,202,ICU,Available,1
RM000403,HOSP000021,403,ICU,Maintenance,1
RM000404,HOSP000021,404,ICU,Occupied,1
RM000405,HOSP000021,405,Emergency Room,Occupied,6
RM000406,HOSP000021,106,Operation Theater,Available,1
RM000407,HOSP000021,207,Emergency Room,Available,4
RM000408,HOSP000021,108,General Ward,Maintenance,4
RM000409,HOSP000021,509,Emergency Room,Maintenance,6
RM000410,HOSP000021,210,Operation Theater,Occupied,1
RM000411,HOSP000021,511,Operation Theater,Available,1
RM000412,HOSP000021,212,ICU,Available,1
RM000413,HOSP000021,213,Consultation Room,Available,1
RM000414,HOSP000021,114,Consultation Room,Available,1
RM000415,HOSP000021,315,Consultation Room,Maintenance,1
RM000416,HOSP000021,216,General Ward,Occupied,2
RM000417,HOSP000021,217,General Ward,Maintenance,4
RM000418,HOSP000021,518,Emergency Room,Available,4
RM000419,HOSP000021,419,Consultation Room,Available,1
RM000420,HOSP000021,320,Emergency Room,Maintenance,2
RM000421,HOSP000022,101,General Ward,Occupied,2
RM000422,HOSP000022,102,ICU,Occupied,1
RM000423,HOSP000022,503,ICU,Available,1
RM000424,HOSP000022,504,Operation Theater,Occupied,1
RM000425,HOSP000022,505,Emergency Room,Maintenance,4
RM000426,HOSP000022,106,Operation Theater,Occupied,1
RM000427,HOSP000022,407,Operation Theater,Occupied,1
RM000428,HOSP000022,208,General Ward,Available,2
RM000429,HOSP000022,109,ICU,Available,1
RM000430,HOSP000022,210,General Ward,Occupied,4
RM000431,HOSP000022,311,Consultation Room,Occupied,1
RM000432,HOSP000022,112,General Ward,Occupied,4
RM000433,HOSP000022,313,Emergency Room,Available,6
RM000434,HOSP000022,314,ICU,Occupied,1
RM000435,HOSP000022,215,Consultation Room,Maintenance,1
RM000436,HOSP000022,216,General Ward,Available,2
RM000437,HOSP000022,217,Emergency Room,Available,2
RM000438,HOSP000022,318,Consultation Room,Maintenance,1
RM000439,HOSP000022,319,ICU,Occupied,1
RM000440,HOSP000022,320,General Ward,Maintenance,4
RM000441,HOSP000023,201,General Ward,Occupied,4
RM000442,HOSP000023,502,ICU,Occupied,1
RM000443,HOSP000023,103,Consultation Room,Available,1
RM000444,HOSP000023,504,Operation Theater,Maintenance,1
RM000445,HOSP000023,505,Consultation Room,Occupied,1
RM000446,HOSP000023,406,Operation Theater,Maintenance,1
RM000447,HOSP000023,307,Emergency Room,Available,4
RM000448,HOSP000023,508,General Ward,Occupied,2
RM000449,HOSP000023,209,ICU,Maintenance,1
RM000450,HOSP000023,110,General Ward,Occupied,6
RM000451,HOSP000023,411,Consultation Room,Occupied,1
RM000452,HOSP000023,412,ICU,Available,1
RM000453,HOSP000023,513,Operation Theater,Occupied,1
RM000454,HOSP000023,114,Emergency Room,Available,2
RM000455,HOSP000023,115,Operation Theater,Occupied,1
RM000456,HOSP000023,216,General Ward,Occupied,2
RM000457,HOSP000023,417,Operation Theater,Occupied,1
RM000458,HOSP000023,418,Consultation Room,Available,1
RM000459,HOSP000023,419,Emergency Room,Available,2
RM000460,HOSP000023,120,Emergency Room,Maintenance,6
RM000461,HOSP000024,401,ICU,Occupied,1
RM000462,HOSP000024,102,Operation Theater,Available,1
RM000463,HOSP000024,103,General Ward,Maintenance,4
RM000464,HOSP000024,504,ICU,Maintenance,1
RM000465,HOSP000024,505,Consultation Room,Occupied,1
RM000466,HOSP000024,506,ICU,Maintenance,1
RM000467,HOSP000024,207,Operation Theater,Occupied,1
RM000468,HOSP000024,208,General Ward,Maintenance,6
RM000469,HOSP000024,309,Consultation Room,Available,1
RM000470,HOSP000024,310,Emergency Room,Available,6
RM000471,HOSP000024,311,Emergency Room,Occupied,6
RM000472,HOSP000024,412,Emergency Room,Occupied,4
RM000473,HOSP000024,313,Operation Theater,Maintenance,1
RM000474,HOSP000024,314,Operation Theater,Occupied,1
RM000475,HOSP000024,515,Operation Theater,Occupied,1
RM000476,HOSP000024,316,Consultation Room,Available,1
RM000477,HOSP000024,117,Emergency Room,Maintenance,6
RM000478,HOSP000024,218,Operation Theater,Available,1
RM000479,HOSP000024,219,Consultation Room,Available,1
RM000480,HOSP000024,120,Operation Theater,Available,1
RM000481,HOSP000025,101,Operation Theater,Available,1
RM000482,HOSP000025,402,Emergency Room,Available,4
RM000483,HOSP000025,503,ICU,Maintenance,1
RM000484,HOSP000025,404,Operation Theater,Maintenance,1
RM000485,HOSP000025,405,ICU,Occupied,1
RM000486,HOSP000025,106,Emergency Room,Available,6
RM000487,HOSP000025,307,ICU,Available,1
RM000488,HOSP000025,308,General Ward,Maintenance,6
RM000489,HOSP000025,309,Operation Theater,Available,1
RM000490,HOSP000025,310,General Ward,Occupied,2
RM000491,HOSP000025,111,Consultation Room,Occupied,1
RM000492,HOSP000025,212,General Ward,Maintenance,2
RM000493,HOSP000025,313,ICU,Available,1
RM000494,HOSP000025,114,ICU,Available,1
RM000495,HOSP000025,415,Emergency Room,Maintenance,2
RM000496,HOSP000025,216,General Ward,Occupied,4
RM000497,HOSP000025,317,ICU,Maintenance,1
RM000498,HOSP000025,318,ICU,Occupied,1
RM000499,HOSP000025,219,Consultation Room,Maintenance,1
RM000500,HOSP000025,220,General Ward,Occupied,2
RM000501,HOSP000026,301,ICU,Maintenance,1
RM000502,HOSP000026,302,Emergency Room,Occupied,2
RM000503,HOSP000026,503,Consultation Room,Available,1
RM000504,HOSP000026,504,Consultation Room,Available,1
RM000505,HOSP000026,205,Emergency Room,Occupied,6
RM000506,HOSP000026,206,Emergency Room,Occupied,4
RM000507,HOSP000026,207,Operation Theater,Maintenance,1
RM000508,HOSP000026,308,ICU,Available,1
RM000509,HOSP000026,509,General Ward,Available,6
RM000510,HOSP000026,510,General Ward,Occupied,6
RM000511,HOSP000026,411,Emergency Room,Maintenance,4
RM000512,HOSP000026,512,Consultation Room,Maintenance,1
RM000513,HOSP000026,213,Emergency Room,Maintenance,4
RM000514,HOSP000026,214,General Ward,Maintenance,2
RM000515,HOSP000026,115,General Ward,Available,2
RM000516,HOSP000026,116,Operation Theater,Available,1
RM000517,HOSP000026,517,General Ward,Available,2
RM000518,HOSP000026,318,Consultation Room,Maintenance,1
RM000519,HOSP000026,319,Emergency Room,Occupied,6
RM000520,HOSP000026,420,ICU,Maintenance,1
RM000521,HOSP000027,101,Emergency Room,Occupied,6
RM000522,HOSP000027,202,Operation Theater,Occupied,1
RM000523,HOSP000027,503,Operation Theater,Occupied,1
